City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Weather Description
229,Honiara,-9.43,159.95,71.6,100,40,3.36,SB,heavy intensity rain
230,Makakilo City,21.35,-158.09,77.0,83,75,3.36,US,broken clouds
231,Tucurui,-3.77,-49.67,99.19,34,41,4.81,BR,scattered clouds
232,Faanui,-16.48,-151.75,77.97,79,0,19.6,PF,clear sky
233,Rosetta,31.4,30.42,78.8,57,20,9.17,EG,few clouds
234,La Ronge,55.1,-105.28,44.6,81,90,3.36,CA,overcast clouds
235,Changji,44.02,87.32,50.0,39,0,4.47,CN,clear sky
236,Hobyo,5.35,48.53,78.37,86,59,18.1,SO,broken clouds
237,Inverness,57.48,-4.22,57.2,50,20,8.05,GB,few clouds
238,Pathein,16.78,94.73,78.21,93,73,3.91,MM,broken clouds
239,Itarema,-2.92,-39.92,88.74,48,92,21.12,BR,overcast clouds
240,Taltal,-25.4,-70.48,63.07,62,31,8.61,CL,scattered clouds
241,Mount Isa,-20.73,139.5,80.6,22,0,8.05,AU,clear sky
242,Boynton Beach,26.53,-80.07,80.6,88,40,11.41,US,scattered clouds
243,Bubaque,11.28,-15.83,82.09,76,35,10.94,GW,scattered clouds
244,Svogerslev,55.63,12.01,60.01,82,90,14.99,DK,overcast clouds
245,Lianzhou,24.78,112.38,76.1,86,3,2.53,CN,light rain
246,Byron Bay,-28.65,153.62,63.0,100,40,6.93,AU,scattered clouds
247,Ishigaki,24.34,124.16,81.14,78,1,13.78,JP,clear sky
248,Cockburn Town,21.46,-71.14,86.0,70,40,12.75,TC,scattered clouds
249,Saint-Georges,12.06,-61.75,80.6,83,40,18.34,GD,light intensity shower rain
250,Mega,4.05,38.3,66.69,63,7,9.84,ET,clear sky
251,Yining,29.04,114.56,68.14,92,31,1.07,CN,scattered clouds
252,Kerrville,30.05,-99.14,72.0,40,1,8.05,US,clear sky
253,Haines Junction,60.75,-137.51,42.31,84,100,5.26,CA,moderate rain
254,Kalmunai,7.42,81.82,83.23,71,77,3.96,LK,broken clouds
255,Alta Floresta,-9.88,-56.09,100.24,28,96,1.41,BR,overcast clouds
256,Roebourne,-20.78,117.13,75.96,36,22,15.79,AU,light rain
257,Ngama,11.78,17.17,93.33,44,30,3.47,TD,scattered clouds
258,Yerbogachen,61.28,108.01,26.6,94,63,7.49,RU,broken clouds
259,Ucluelet,48.93,-125.55,55.4,100,20,2.24,CA,fog
260,Doctor Arroyo,23.67,-100.18,62.64,34,0,2.15,MX,clear sky
261,Bengkulu,-3.8,102.27,75.51,87,79,4.12,ID,broken clouds
262,Bontang,0.13,117.5,78.89,86,86,3.8,ID,overcast clouds
263,Cherskiy,68.75,161.3,30.69,89,95,3.6,RU,overcast clouds
264,Uyutne,45.2,33.3,67.41,68,31,8.95,UA,scattered clouds
265,Alburikent,42.97,47.47,66.2,72,75,15.66,RU,broken clouds
266,Meulaboh,4.14,96.13,76.68,83,100,4.36,ID,heavy intensity rain
267,Rabo De Peixe,37.8,-25.58,69.8,88,75,12.75,PT,broken clouds
268,Virden,39.5,-89.77,55.99,69,10,4.0,US,clear sky
269,Yaring,6.87,101.37,78.8,78,20,4.7,TH,few clouds
270,Helena,46.59,-112.04,64.0,50,75,2.64,US,broken clouds
271,Karanganyar,-6.71,111.08,79.36,82,38,5.68,ID,moderate rain
272,Majenang,-7.3,108.76,75.92,90,78,3.47,ID,light rain
273,Suntar,62.14,117.63,26.35,92,0,4.97,RU,clear sky
