City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name,Hotel Location Code
238,Pathein,MM,78.21,broken clouds,16.78,94.73,Pathein Hotel,ChIJhZ9dwUXqvzAR_5CPPMw3m5c
239,Itarema,BR,88.74,overcast clouds,-2.92,-39.92,Windvillage,ChIJfe_sK7n-wQcRj_nLJGgWGrs
241,Mount Isa,AU,80.6,clear sky,-20.73,139.5,ibis Styles Mt Isa Verona,ChIJN2o1efxSFmoRtTi-NobVc6U
242,Boynton Beach,US,80.6,scattered clouds,26.53,-80.07,Courtyard by Marriott Boynton Beach,ChIJFfkl7FPf2IgRaEIPRIzjX0A
243,Bubaque,GW,82.09,scattered clouds,11.28,-15.83,Casa Dora - Mango Lodge,ChIJOfE0LrXf4A4RVr7uqwgkZrU
245,Lianzhou,CN,76.1,light rain,24.78,112.38,Qingcheng Tourism Industry,ChIJqYQSvSFxpzYRFVTtmBpb8SU
247,Ishigaki,JP,81.14,clear sky,24.34,124.16,Hotel Peace Land Ishigakijima,ChIJbeMyQq0KYDQRBpEbSCjd7bM
248,Cockburn Town,TC,86.0,scattered clouds,21.46,-71.14,Osprey Beach Hotel,ChIJP-sgArPVso4RyoFsXtltYR0
249,Saint-Georges,GD,80.6,light intensity shower rain,12.06,-61.75,Siesta Hotel,ChIJtaIWROAgOIwRAM8vPaYz8rI
254,Kalmunai,LK,83.23,broken clouds,7.42,81.82,VS Villa,ChIJXwO1sx0_5ToRsmZseb_Bn9w
256,Roebourne,AU,75.96,light rain,-20.78,117.13,Harding River Caravan Park,ChIJF4YOcO119isRnK5ca05oZXk
261,Bengkulu,ID,75.51,broken clouds,-3.8,102.27,Grage Hotel Bengkulu,ChIJX06tDhywNi4RTWhpQy33O3k
262,Bontang,ID,78.89,overcast clouds,0.13,117.5,Okra Leaf Guest House Syariah,ChIJRQPfeX8SCjIRmoRzVRsk_CY
266,Meulaboh,ID,76.68,heavy intensity rain,4.14,96.13,Kost Pria,ChIJheTiY7vDPjARLfhB2PKFQnw
269,Yaring,TH,78.8,few clouds,6.87,101.37,My Home Pokku,ChIJpWnLdfmpszERl0MPioHuNwg
271,Karanganyar,ID,79.36,moderate rain,-6.71,111.08,Guntur Patie Home's,ChIJ96n5KL7UcC4RxE8tN7hgb5E
272,Majenang,ID,75.92,light rain,-7.3,108.76,Strum Aki Majenang,ChIJX4oysSd_by4R_YKzT6gkPLU
275,Kathu,TH,81.0,overcast clouds,7.92,98.33,Novotel Phuket Resort,ChIJFZk3Tx4uUDAR03hAOz-7puQ
277,Bariadi,TZ,84.78,broken clouds,-2.8,33.98,Sweet Dreams Hotel,ChIJ____2HftzBkRnGaD3STQDFg
278,Dingle,PH,78.15,light rain,11.0,122.67,Camp Pasica,ChIJz05AAYoZrzMR7bgf0rgCNKI
281,Monrovia,LR,82.4,thunderstorm,6.3,-10.8,Eco-Hotel Hall & Restaurant,ChIJQR3ARKACCg8RN_1SN8OK11k
284,Dawei,MM,78.4,light rain,14.08,98.2,Hotel Dawei,ChIJjS3gtsIL5TARLvKpqZ_ZOQA
286,Basco,PH,82.26,few clouds,20.45,121.97,Nathaniel's Lodge,ChIJEwk0hGfAeTQRYdCZuVYehAs
294,Port Blair,IN,81.84,overcast clouds,11.67,92.75,Fortune Resort Bay Island,ChIJh_mDIBWViDARFwf2YL6xKRQ
300,Padang,ID,76.77,moderate rain,-0.95,100.35,Mercure Padang,ChIJy_0jCS251C8RhUZNQrDWSYM
307,Samarai,PG,77.95,moderate rain,-10.62,150.67,Nuli Sapi,ChIJrebljQDVGGkRDM41vUpbU30
309,Naze,JP,78.8,broken clouds,28.37,129.48,奄美ポートタワーホテル,ChIJD5RoToS6HzURs7YYtCubFGY
315,Porto Velho,BR,89.6,scattered clouds,-8.76,-63.9,Hotel Vila Rica Porto Velho,ChIJVzPp1cRcMpIRCk45SglT5bI
316,Eruwa,NG,83.14,few clouds,7.53,3.42,Yinka Hostel,ChIJHU2LasUTOhARGZXjEBK2si8
318,Rockport,US,78.01,clear sky,28.02,-97.05,Holiday Inn Express & Suites Rockport - Bay View,ChIJ-15BJHy0aYYRT02ZVh_pZGE
321,Vaitape,PF,78.8,clear sky,-16.52,-151.75,Conrad Bora Bora Nui,ChIJk-lncOC8vXYRc_-EYKBkcSY
325,Alice Springs,AU,75.0,scattered clouds,-23.7,133.88,Desert Palms Alice Springs,ChIJY5USd-QbMisRw9K0kmzGGuE
334,Lumphat,KH,75.04,moderate rain,13.49,106.98,Lumphat Homestay,ChIJAfZ06zcXbTERRxxDuR9Wmlk
337,Lompoc,US,78.8,few clouds,34.64,-120.46,Holiday Inn Express Lompoc,ChIJEa4umrUe7IAR39uRx5o8TwA
341,Imbituba,BR,80.6,broken clouds,-28.24,-48.67,Praia Hotel Imbituba,ChIJUVdV5PLMJpURNQUxnh0iZ0Q
346,Port Keats,AU,81.99,overcast clouds,-14.25,129.55,TDC Village (Hundred Man Camp),ChIJ5xCIME9wliwRFR-WyMBAa8c
354,Guerrero Negro,MX,81.93,clear sky,27.98,-114.06,"Casa Laguna, Bed & Breakfast",ChIJSfKOjlH_M4ERoC0bQr7L76Q
355,Ixtapa,MX,84.99,clear sky,20.7,-105.2,Container Inn Puerto Vallarta,ChIJsaUFJcdFIYQRCxskKaSRsZY
357,Mouila,GA,84.15,overcast clouds,-1.87,11.06,Hôtel du Lac Bleu,ChIJt2w7O_QLfRoRryyPnMPfDD4
359,Damavand,IR,77.0,few clouds,35.72,52.06,آپارتمان زمانیان,ChIJSx4PZIYzkD8RmsX3xPyksMg
365,Lamu,KE,78.8,few clouds,-2.27,40.9,Lamu House,ChIJwWvGHj4ZFxgRjI3SFx3HDQ4
370,Sao Luiz Gonzaga,BR,86.11,overcast clouds,-28.41,-54.96,Xerife Hotel,ChIJZ-SInBgY_5QRFAgJJFbCNew
371,Luang Prabang,LA,75.72,broken clouds,19.89,102.13,Villa Oasis,ChIJZyKufEEqLzERQ1MP1kcyO4A
372,San Juan De Arama,CO,81.88,light rain,3.35,-73.89,Hotel Palacios Real,ChIJOz9aHiXCPY4R9QIYTjys6vk
373,Veraval,IN,81.18,light rain,20.9,70.37,Lords Inn Somnath,ChIJe8KY1aIy_TsRYmL3YLqYtwo
375,Kawambwa,ZM,80.38,scattered clouds,-9.79,29.08,"Uphill Country Lodge, Kawambwa",ChIJTXKP89DnChkRVMzUXLMvw94
379,Oistins,BB,87.8,few clouds,13.07,-59.53,Butterfly Beach Hotel,ChIJHb08odr1Q4wR6Tuxw7ARCjI
382,Antioch,TR,78.8,few clouds,36.21,36.16,The Liwan Hotel,ChIJcQlHws7DJRURGodJoM0yAF8
385,Tura,IN,75.69,moderate rain,25.52,90.22,Hotel RIKMAN Continental,ChIJ6c5pWoTxVzcRr45ej3Q--C4
390,Kabwe,ZM,86.68,clear sky,-14.45,28.45,Tuskers,ChIJTxquH9y6ahkRBEBbu4b1tQE
398,Jalingo,NG,81.61,scattered clouds,8.88,11.37,Debright Motel,ChIJwRYe00wo-RAR-21Cmxwl41w
400,Bandarbeyla,SO,78.22,scattered clouds,9.49,50.81,REER XOOSHLE GROUP,ChIJ____P9zQoz0RyPHfXDj98JY
402,Eyl,SO,79.07,broken clouds,7.98,49.82,Amiin Hotel,ChIJ15QQKgFFdT0RzDdAiKaLOwI
403,Los Llanos De Aridane,ES,78.8,broken clouds,28.66,-17.92,Valle Aridane,ChIJG1IIBFXpawwRW-DEqLdLCnE
404,Sibolga,ID,76.89,moderate rain,1.74,98.78,Hotel Syariah CN Darussalam,ChIJIwEAAGT0LjARqwcWQMTkPAc
408,Khanpur,PK,84.22,clear sky,28.65,70.66,Khan Hotel,ChIJq7GJE6X3OTkRCkhJYLZMI4Q
409,Progreso,MX,80.6,broken clouds,21.28,-89.67,Playa Linda Hotel,ChIJOfQIQyrDVY8R5wKpQKDnka4
410,Azoyu,MX,84.83,broken clouds,16.72,-98.73,Hotel San Luis,ChIJ65Tc1nDByYURf2ci5pdsb_E
411,Banjar,ID,80.6,few clouds,-8.19,114.97,The Hamsa Resort,ChIJgwvBWFWD0S0R-yNvFPp3cu4
413,Kinablangan,PH,79.43,overcast clouds,7.69,126.55,Mainit Balete Hot Spring,ChIJJ8RlB5dg_DIRyp2um2jBkc8
414,Port Hedland,AU,77.0,broken clouds,-20.32,118.57,The Esplanade Hotel,ChIJpbL8MX5O9SsRLUdiWZDhgrc
415,Sao Filipe,CV,83.26,overcast clouds,14.9,-24.5,Tortuga B&B,ChIJCa3OQEIWNgkRP21GdGKRcOM
417,Kipini,KE,78.8,few clouds,-2.53,40.53,Tana River Lodge,ChIJEXIYYpJbFhgRTQi3XpdKqQ0
428,Olinda,BR,84.2,few clouds,-8.01,-34.86,Hotel 5 Sóis,ChIJ4QSbYLUiqwcRfkhv-HP1liw
429,Ingleside,US,78.01,clear sky,27.88,-97.21,Quality Inn Ingleside - Corpus Christi,ChIJQRIV665RaIYRfK-V50a3UFE
445,Nanakuli,US,77.0,clear sky,21.39,-158.15,Camp Pālehua,ChIJiRcbyURiAHwRC9uwzfDs7vY
448,Ray,IN,77.0,haze,23.68,85.05,Bablu Cake Corner,ChIJmQ06SdG39DkR7CmbfT3yVsc
451,Lindi,TZ,78.8,few clouds,-10.0,39.72,Lindi paradise house,ChIJAQBQ7Bnc8hgRSd4s_Y4Q5uo
452,Caravelas,BR,83.08,few clouds,-17.71,-39.25,Pousada dos Navegantes,ChIJVVgc5WnXNAcRLGgmGSFNxr0
454,Wichian Buri,TH,79.61,light rain,15.66,101.11,Mit Sali Hotel,ChIJ-bUKgYywHzER9MbMDmSqFeE
455,Xochistlahuaca,MX,86.16,few clouds,16.78,-98.25,La frontera,ChIJZY2X-cBHyIURuNpiUIDAK0s
461,Mogadishu,SO,78.46,few clouds,2.04,45.34,Hotel Juba,ChIJb5hc79pDWD0RclN_Q6ZztsI
464,Kamphaeng Phet,TH,78.26,moderate rain,16.48,99.52,Chakungrao Riverview,ChIJP69v_moY3jARtPzSdXeISJ4
465,Thap Than,TH,79.97,light rain,15.46,99.89,Am,ChIJmfeNe3MH4TARlW3BU8sPGho
467,Dromolaxia,CY,78.8,clear sky,34.88,33.59,Flamingo Beach Hotel,ChIJGWK3XMKC4BQRTpttF4BEjQk
469,Sorong,ID,79.97,moderate rain,-0.88,131.25,The Waigo Hotel,ChIJT_u9bg2rXi0Rgc7711mQy1s
472,Calama,CL,75.2,clear sky,-22.47,-68.93,Park Hotel Calama,ChIJCb-80ScIrJYREc9e9LUehJ0
473,Pontianak,ID,77.18,light rain,-0.03,109.33,Aston Pontianak Hotel & Convention Center,ChIJf0V-0PhZHS4RjQ86ARdMY3M
474,Muisne,EC,77.0,overcast clouds,0.6,-80.03,Quinta Samay,ChIJd69zMxf-1I8RVptFQ0q4M6A
481,Bardiyah,LY,75.92,clear sky,31.76,25.09,بورتو بردية,ChIJG8hnjCZ7fRQREkgPV1O3_hU
486,Kalangala,UG,77.0,few clouds,-0.31,32.23,Ssese Habitat Resort,ChIJSe0c9_6z1xkRyHCW7Sug9Kg
488,Pagudpud,PH,80.6,broken clouds,18.56,120.79,Saud Beach Resort and Hotel - 2,ChIJKZHb5wskiTMRMoa_ydtDW24
491,Manokwari,ID,79.92,moderate rain,-0.87,134.08,Swiss Belhotel Manokwari,ChIJZbavqfIKVC0Rjyrull6NyZI
495,Rusape,ZW,76.68,overcast clouds,-18.53,32.13,Surrey Lodge,ChIJtSrMgsq7LRkRWG4w531KHTc
497,Dhidhdhoo,MV,82.18,clear sky,6.88,73.1,Dhidhoo beach,ChIJZTdRoPsjbTsR-9IZFSwLgkw
500,Conde,BR,84.2,broken clouds,-7.26,-34.91,Pousada Beija Flor,ChIJAQAAACzrrAcRhzgwHmKZo14
503,Arrecife,ES,78.8,scattered clouds,28.96,-13.55,Hotel Lancelot,ChIJbZf__HcnRgwRIC4-nwSjfvA
515,Torit,SS,76.98,scattered clouds,4.41,32.57,Diplomat Guest House,ChIJdzhy4QXFDBcRivNva2uA9tE
516,Boyolangu,ID,76.64,light rain,-8.12,111.89,Yos ega cv,ChIJuYOou6vjeC4RrM_C0THPIWo
522,Houma,US,75.99,clear sky,29.6,-90.72,Courtyard by Marriott Houma,ChIJkc_aVykFIYYRwqDKMj00vHo
523,Salalah,OM,78.8,clear sky,17.02,54.09,HAMDAN PLAZA HOTEL,ChIJfcmTanVg0T0RVP-fvHfooVk
525,Bullhead City,US,89.6,clear sky,35.15,-114.57,Golden Nugget Laughlin Hotel & Casino,ChIJNQhqgLJDzoARDyXqhK0p204
529,Bocana De Paiwas,NI,81.0,light rain,12.79,-85.12,Guapinol Cabaña Monge,ChIJ0QULAyzZco8R9KgpKC10nn8
530,Vinh,VN,80.02,overcast clouds,18.67,105.67,Hotels Shanghai,ChIJl2_8vm3OOTERzclNCpSAc08
536,San Carlos,VE,81.05,moderate rain,9.66,-68.58,Hotel Paternopoli,ChIJn_IjEmoWfo4RndgGRvz59Gk
538,Praya,CV,87.8,broken clouds,14.92,-23.51,LT Aparthotel,ChIJ7_obsViYNQkR0m9z7BAxTi4
539,Angoche,MZ,77.09,few clouds,-16.23,39.91,Guest House HESADA,ChIJIZl6DjHhyRgR2A77Y4jlMYg
